,Brand,Model,Weight,Operating System,Display Size,Pixel Density,Display Touchscreen,Clock-speed,Capacity,RAM Type,SSD Capacity,Battery Type,Wi-Fi Version,Warranty,Price (Rs),Weight_Category,Resolution_X,Resolution_Y,GPU_Brand,GPU_Tier,CPU_Brand,CPU_Category,Total_Pixels,Screen_Category,PPI_Category
0,HP,14-dv0055TU (2N1L1PA),1.41,Windows 10,14.0,157,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,71990.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
1,Acer,PHN16-71 (NH.QLTSI.002),2.6,Windows 11,16.0,142,No,4,16 GB,DDR5,512 GB,Li-Ion,5.0,1,105999.0,Heavy,1920,1200,NVIDIA,High,Intel,i7-13Gen,2304000,Large,Medium
2,Dell,15 5570 (A560126WIN9),2.2,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,54999.0,Normal,1920,1080,AMD,Integrated,Intel,i5-8Gen,2073600,Medium,Medium
3,MSI,GV62 7RD-2297XIN,2.2,DOS,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,67990.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i7-7Gen,2073600,Medium,Medium
4,Dell,15 3515 (D560702WIN9BE),1.8,Windows 11,15.6,141,No,4,4 GB,DDR4,256 GB,Li-Ion,5.0,1,42210.0,Light,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
5,HP,15s-ey1004AU (38Z30PA),1.7,Windows 10,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,1,47990.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-4Gen,2073600,Medium,Medium
6,Lenovo,(81WE0144IN),1.85,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Po,5.0,1,44990.0,Normal,1920,1080,Intel,Integrated,Intel,i5-10Gen,2073600,Medium,Medium
8,Asus,14 OLED M3401QC-KM045WS,1.45,Windows 11,14.0,243,No,4,16 GB,DDR4,512 GB,Li-Po,6.0,1,89990.0,Light,2880,1800,NVIDIA,Mid,AMD,Other,5184000,Medium,High
9,Asus,UX430UA-GV334T,1.25,Windows 10,14.0,157,No,3,8 GB,DDR4,256 GB,Li-Po,5.0,1,45990.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i5-8Gen,2073600,Medium,Medium
10,Lenovo,3 15ITL6 (82H8014BIN),1.65,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,81090.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
11,Asus,TP412FA-EC371TS,1.5,Windows 10,14.0,157,No,2,4 GB,DDR4,512 GB,Li-Ion,6.0,1,46990.0,Light,1920,1080,Intel,Integrated,Intel,i3-10Gen,2073600,Medium,Medium
12,Acer,A515-51G (NX.GVMSI.005),2.1,Linux,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,44890.0,Normal,1920,1080,NVIDIA,Basic Dedicated,Intel,i5-7Gen,2073600,Medium,Medium
13,Dell,17 7567 (A562101SIN9),2.62,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,64990.0,Heavy,1920,1080,NVIDIA,Entry Gaming,Intel,i5-7Gen,2073600,Medium,Medium
14,Dell,15 3567 (A561216SIN9),2.5,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,44182.0,Heavy,1366,768,AMD,Integrated,Intel,i5-7Gen,1049088,Medium,Low
15,MSI,Modern 14 A10M-652IN,1.19,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Po,5.0,1,54990.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i5-10Gen,2073600,Medium,Medium
16,Lenovo,(82EY00UAIN),2.2,Windows 10,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,5.0,1,66490.0,Normal,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-4Gen,2073600,Medium,Medium
17,Asus,X515JA-EJ512TS,1.8,Windows 10,15.6,141,No,1,8 GB,DDR4,256 GB,Li-Ion,5.0,1,50990.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
18,Lenovo,3 14ACL6 (82KT00GLIN),1.66,Windows 11,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,48440.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-5Gen,2073600,Medium,Medium
19,MSI,Alpha 15 B5EEK-029IN,2.35,Windows 10,15.6,141,No,4,16 GB,DDR4,1 TB,Li-Ion,6.0,1,114990.0,Heavy,1920,1080,AMD,Integrated,AMD,Ryzen 7-5Gen,2073600,Medium,Medium
20,Asus,X415EA-EB572WS,1.6,Windows 11,14.0,157,No,4,8 GB,DDR4,256 GB,Li-Ion,5.0,1,65999.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
21,MSI,B5EEK-235IN,2.35,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,84990.0,Heavy,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
22,Asus,X515JA-BQ302W,1.8,Windows 11,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,27990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
23,MSI,C12M-439IN,1.4,Windows 11,14.0,157,No,3,16 GB,DDR4,512 GB,Li-Ion,6.0,1,40499.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
25,HP,14-dv0543TU (4X7D7PA),1.14,Windows 10,14.0,157,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,59860.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
26,HP,15-bw548AU (4NZ61PA),1.86,Windows 10,15.6,100,No,2,4 GB,DDR4,512 GB,Li-Ion,4.0,1,24955.0,Normal,1366,768,AMD,Integrated,AMD,Other,1049088,Medium,Low
27,HP,16-e0075AX (494P2PA),2.46,Windows 10,16.1,137,No,3,8 GB,DDR4,512 GB,Li-Po,6.0,1,62112.0,Heavy,1920,1080,NVIDIA,Entry Gaming,AMD,Ryzen 5-5Gen,2073600,Large,Low
28,HP,15-dk2100TX (48U95PA),2.23,Windows 10,15.6,141,No,3,8 GB,DDR4,256 GB,Li-Po,5.0,1,68200.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-11Gen,2073600,Medium,Medium
29,Lenovo,15IMH05 (81Y400BPIN),2.2,Windows 10,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Po,6.0,1,82990.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i7-10Gen,2073600,Medium,Medium
30,Lenovo,Gaming 3 15IHU6 (82K10198IN),2.25,Windows 11,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,5.0,1,48411.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-11Gen,2073600,Medium,Medium
31,Lenovo,S145 (81UT00JBIN),1.85,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,38990.0,Normal,1920,1080,AMD,Integrated,AMD,Ryzen 5-3Gen,2073600,Medium,Medium
32,MSI,11SC-852IN,1.86,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,2,71490.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i7-11Gen,2073600,Medium,Medium
33,Lenovo,5 15IMH05 (82AU00PMIN),2.3,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,62490.0,Normal,1920,1080,NVIDIA,Entry Gaming,Intel,i5-10Gen,2073600,Medium,Medium
34,Acer,SF514-52T (NX.GTMSI.015),0.97,Windows 10,14.0,157,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,84990.0,Ultra Light,1920,1080,Intel,Integrated,Intel,i7-8Gen,2073600,Medium,Medium
35,HP,14a-na1004TU,1.46,Chrome OS,14.0,157,No,2,4 GB,DDR4,512 GB,Li-Ion,5.0,1,20590.0,Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
36,Acer,A315-23 (UN.HVTSI.013),1.9,Windows 11,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,1,26999.0,Normal,1920,1080,AMD,Integrated,AMD,Other,2073600,Medium,Medium
37,HP,15q-BU011TX (2UL56PA),1.86,DOS,15.6,100,No,2,8 GB,DDR4,512 GB,Li-Ion,4.0,1,42990.0,Normal,1366,768,AMD,Integrated,Intel,i5-7Gen,1049088,Medium,Low
38,Dell,15 3505 (D560486WIN9S),1.83,Windows 10,15.6,141,No,2,8 GB,DDR4,256 GB,Li-Ion,5.0,1,40190.0,Normal,1920,1080,AMD,Integrated,AMD,Ryzen 3-3Gen,2073600,Medium,Medium
40,HP,x360 14-dy0186TU (533T6PA),1.5,Windows 11,14.0,157,No,3,8 GB,DDR4,512 GB,Li-Ion,6.0,1,49990.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
41,HP,15q-bu012tx (2WY33PA),1.86,Windows 10,15.6,100,No,2,8 GB,DDR4,512 GB,Li-Ion,4.0,1,50790.0,Normal,1366,768,AMD,Integrated,Intel,i5-7Gen,1049088,Medium,Low
42,Asus,16X K3605ZC-MB541WS,1.8,Windows 11,16.0,142,No,3,16 GB,DDR4,512 GB,Li-Ion,6.0,1,66990.0,Light,1920,1200,NVIDIA,Mid,Intel,i5-12Gen,2304000,Large,Medium
43,Acer,AN515-58 (NH.QFHSI.008),2.6,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,6.0,1,77425.0,Heavy,1920,1080,NVIDIA,Mid,Intel,i5-12Gen,2073600,Medium,Medium
45,HP,15s-FR2508TU (546K3PA),1.7,Windows 11,15.6,141,No,4,8 GB,DDR4,512 GB,Li-Ion,5.0,1,32800.0,Light,1920,1080,Intel,Integrated,Intel,i3-1Gen,2073600,Medium,Medium
46,realme,Book Prime,1.37,Windows 11,14.0,185,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,64990.0,Light,2160,1440,Intel,Integrated,Intel,i5-11Gen,3110400,Medium,High
47,Acer,A515-51G (UN.GT1SI.004),2.2,Windows 10,15.6,100,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,50279.0,Normal,1366,768,NVIDIA,Basic Dedicated,Intel,i5-8Gen,1049088,Medium,Low
48,Lenovo,S145 (81W800TDIN),1.85,Windows 10,15.6,141,No,1,8 GB,DDR4,512 GB,Li-Ion,5.0,1,42990.0,Normal,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
49,MSI,GF63 Thin 10UC-606IN,1.86,Windows 10,15.6,141,No,4,16 GB,DDR4,512 GB,Li-Ion,6.0,1,72990.0,Normal,1920,1080,NVIDIA,Mid,Intel,Other,2073600,Medium,Medium
50,Acer,AN515-58 (UN.QFHSI.026),2.5,Windows 11,15.6,141,No,4,16 GB,DDR4,512 GB,Li-Ion,5.0,1,70990.0,Heavy,1920,1080,NVIDIA,Mid,Intel,i5-12Gen,2073600,Medium,Medium
51,Asus,K513EA-L503TS,1.8,Windows 10,15.6,141,No,2,8 GB,DDR4,512 GB,Li-Ion,6.0,1,51990.0,Light,1920,1080,Intel,Integrated,Intel,i5-1Gen,2073600,Medium,Medium
52,Lenovo,(82RK00VWIN),1.6,Windows 11,15.6,141,No,3,8 GB,DDR4,512 GB,Li-Ion,6.0,1,32990.0,Light,1920,1080,Intel,Integrated,Intel,Other,2073600,Medium,Medium
53,Lenovo,(81X2004RIN),1.65,Windows 10,14.0,157,No,2,8 GB,DDR4,512 GB,Li-Ion,5.0,1,58990.0,Light,1920,1080,AMD,Integrated,AMD,Ryzen 5-4Gen,2073600,Medium,Medium
